City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Makakilo City,US,21.35,-158.09,73.4,78,20,3.36,few clouds
323,Kedrovyy,RU,56.17,91.82,14.0,72,0,8.95,clear sky
324,Iberia,US,29.95,-91.75,52.0,87,40,10.29,scattered clouds
325,Kungurtug,RU,50.6,97.52,-2.42,86,67,0.36,broken clouds
326,Cassilandia,BR,-19.11,-51.73,87.4,39,53,9.64,broken clouds
327,Fernley,US,39.61,-119.25,26.6,73,75,3.36,broken clouds
328,Riyadh,SA,24.69,46.72,62.6,77,75,5.82,broken clouds
329,Tarko-Sale,RU,64.92,77.78,14.0,85,100,15.97,overcast clouds
330,Aviles,ES,43.55,-5.92,62.01,76,75,5.82,broken clouds
331,Chokurdakh,RU,70.63,147.92,-10.1,90,98,13.49,overcast clouds
332,Salalah,OM,17.02,54.09,82.4,65,40,10.29,scattered clouds
333,Honningsvag,NO,70.98,25.97,35.6,74,75,21.92,broken clouds
334,Fasa,IR,28.94,53.65,69.8,37,20,9.17,few clouds
335,Mitu,CO,1.2,-70.17,74.52,92,73,2.39,broken clouds
336,Bijie,CN,27.31,105.29,44.65,80,86,4.59,overcast clouds
337,Port Macquarie,AU,-31.43,152.92,70.0,76,95,7.87,overcast clouds
338,El Tumbador,GT,14.87,-91.93,57.99,98,26,4.0,scattered clouds
339,Viseu,PT,40.66,-7.91,55.99,83,93,8.99,overcast clouds
340,Agua Dulce,MX,18.13,-94.13,74.57,89,11,9.51,light rain
341,Fez,MA,34.04,-5.0,62.6,51,0,8.05,clear sky
342,Pevek,RU,69.7,170.31,-0.71,93,100,3.11,overcast clouds
343,Saint-Joseph,RE,-21.37,55.62,80.6,65,75,9.17,broken clouds
344,Gumdag,TM,39.21,54.59,42.6,64,87,20.45,overcast clouds
345,San Clemente,US,33.43,-117.61,48.99,52,1,1.23,clear sky
346,Aitape,PG,-3.14,142.35,79.34,81,92,3.65,moderate rain
347,Datong,CN,40.09,113.29,17.64,92,60,2.44,broken clouds
348,Souillac,MU,-20.52,57.52,82.4,69,40,14.99,shower rain
349,Rampur Hat,IN,24.17,87.78,72.75,33,0,5.21,clear sky
350,Pacifica,US,37.61,-122.49,48.99,87,75,5.82,broken clouds
351,Georgetown,MY,5.41,100.34,84.2,70,40,6.93,scattered clouds
352,Itupiranga,BR,-5.13,-49.33,78.8,94,100,3.36,light rain
353,Jefferson City,US,38.58,-92.17,30.2,54,90,16.11,overcast clouds
354,Ketchikan,US,55.34,-131.65,37.4,93,90,10.25,light rain
355,Uthal,PK,25.81,66.62,83.37,15,0,7.2,clear sky
356,Oyama,JP,36.3,139.8,57.0,93,75,3.36,broken clouds
357,Atar,MR,20.52,-13.05,82.71,15,36,4.7,scattered clouds
358,Kavaratti,IN,10.57,72.64,83.28,71,10,7.7,clear sky
359,Timbo,BR,-26.82,-49.27,82.0,61,99,1.77,overcast clouds
360,Pochutla,MX,15.74,-96.47,70.61,82,21,3.74,few clouds
361,Bose,IT,45.46,8.01,46.0,77,0,3.0,clear sky
362,Faya,SA,18.39,42.45,68.0,68,40,11.41,scattered clouds
363,Husavik,IS,66.04,-17.34,26.6,79,75,4.7,broken clouds
364,Jalu,LY,29.03,21.55,73.15,21,0,18.05,clear sky
365,Cedro,BR,-6.61,-39.06,86.56,43,72,5.46,broken clouds
