City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
455,Harper,LR,82.81,light rain,4.38,-7.72,Screensaver
456,Humaita,BR,76.03,overcast clouds,-7.51,-63.02,Corrêa Hotel
458,Lahij,YE,78.46,overcast clouds,13.17,44.58,
459,Amnat Charoen,TH,70.09,clear sky,15.92,104.75,หอพักนักศึกษา
460,Rawson,AR,65.3,clear sky,-43.3,-65.1,Hotel Punta León
468,Dingle,PH,75.7,broken clouds,11.0,122.67,SEGAYA PROPERTY
470,Ilhabela,BR,84.34,scattered clouds,-23.78,-45.36,Ilha Flat Hotel
471,Surt,LY,68.5,light rain,31.21,16.59,City Hotel
480,Bontang,ID,78.6,overcast clouds,0.13,117.5,Okra Leaf Guest House Syariah
482,Port Lincoln,AU,71.35,light rain,-34.73,135.87,Port Lincoln Hotel
485,Syracuse,IT,66.0,few clouds,37.09,15.28,Hotel Posta
489,Wilmington,US,72.0,scattered clouds,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
490,Sur,OM,75.63,clear sky,22.57,59.53,Sur Plaza Hotel
491,Temerloh,MY,77.25,overcast clouds,3.45,102.42,U Design Hotel Temerloh
492,Emerald,AU,87.8,clear sky,-23.53,148.17,The Irish Village
493,Loandjili,CG,81.86,light rain,-4.76,11.86,Résidence ARCHANGE
494,Cayenne,GF,77.0,scattered clouds,4.93,-52.33,Hôtel Le Dronmi
495,Maceio,BR,80.6,scattered clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
498,Marawi,PH,81.0,overcast clouds,8.0,124.29,Derogongan Residence
499,Taltal,CL,62.17,broken clouds,-25.4,-70.48,Residencial Karime
500,Narrabri,AU,82.4,clear sky,-30.32,149.78,Crossroads Hotel
501,Quatre Cocos,MU,82.4,shower rain,-20.21,57.76,Emeraude Beach Attitude Hotel
504,Plettenberg Bay,ZA,66.9,few clouds,-34.05,23.37,Thanda Vista B&B
506,Olinda,BR,80.6,broken clouds,-8.01,-34.86,Hotel 5 Sóis
507,The Valley,AI,80.01,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
508,Nouakchott,MR,73.4,clear sky,18.09,-15.98,Hôtel Iman
512,Dicabisagan,PH,74.62,broken clouds,17.08,122.42,Nancy Montanes Bernardo
513,Ponta Do Sol,PT,62.6,light rain,32.67,-17.1,Hotel do Campo
515,Chazuta,PE,74.23,overcast clouds,-6.57,-76.14,Fundo El Porvenir
516,Pedernales,DO,76.77,clear sky,18.04,-71.74,Hotel Costa Marina
518,Melong,CM,87.82,scattered clouds,5.12,9.96,Washinton City Mordern Bar And Motel
519,Padilla,CO,66.2,moderate rain,3.22,-76.31,La Granadina
520,Ixtapa,MX,73.0,few clouds,20.7,-105.2,Container Inn Puerto Vallarta
521,Sola,VU,79.3,light rain,-13.88,167.55,Ulkel Guest House
523,Nobres,BR,87.6,clear sky,-14.72,-56.33,Eloáh Agência de Turismo
525,Requena,ES,60.01,scattered clouds,39.49,-1.1,Hotel Avenida
528,Pisco,PE,64.4,mist,-13.7,-76.22,Hotel San Isidro Oficial
530,Mancio Lima,BR,73.72,broken clouds,-7.61,-72.9,Hotel e Distribuidora Voyage
531,Richards Bay,ZA,85.19,clear sky,-28.78,32.04,BON Hotel Waterfront Richards Bay
533,Nola,IT,61.0,clear sky,40.92,14.53,Pamaran Hotel
534,Horta,PT,62.6,shower rain,38.53,-28.63,Hotel do Canal | Horta - Faial
536,Angoche,MZ,87.03,clear sky,-16.23,39.91,Guest House HESADA
538,Sambava,MG,82.4,clear sky,-14.27,50.17,Melrose
539,Dhidhdhoo,MV,83.53,overcast clouds,6.88,73.1,Dhidhoo beach
